Altium Designer Pick and Place Locations
C:\Users\eisk\OneDrive - Nordic Semiconductor\Documents\Nordic Projects\Student projects\Gameboy\GameBoy Link Cool\production_files\Pick Place for Gameboy Link panel.csv

========================================================================================================================
File Design Information:

Date:       06-05-24
Time:       16:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C18","4.7µF","TopLayer","CAPC1608X06L","69.0000","40.7550","90","Capacitor, X7R, ±10%, 6.3V"
"L2","10µH","TopLayer","INDC1608X06L","76.2750","40.7750","180","Inductor, 80mA, ±10%"
"L4","10µH","TopLayer","INDC1608X06L","66.1250","34.7750","270","Inductor, 80mA, ±10%"
"C16","1.0µF","TopLayer","CAPC1005X04L","70.4500","40.5250","270","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"C5","1.0µF","TopLayer","CAPC1005X04L","73.0500","40.6550","0","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"L3","10µH","TopLayer","INDC1608X06L","72.1500","41.6750","180","Inductor, 80mA, ±10%"
"C19","2.2µF","TopLayer","CAPC1608X06L","67.3000","34.3750","90","Capacitor, X7R, ±10%"
"C3","1.0µF","TopLayer","CAPC1005X04L","76.8250","39.7500","0","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"C6","100nF","TopLayer","CAPC0603X03L_C","75.3190","39.0000","0","Capacitor, X7S, 16V"
"C4","2.2nF","TopLayer","CAPC0603X03L_C","78.5000","37.3500","90","Capacitor, X7R, ±10%, 10V"
"C8","100nF","TopLayer","CAPC0603X03L_C","68.6000","37.8000","90","Capacitor, X7S, 16V"
"C7","1.0µF","TopLayer","CAPC1005X04L","72.5000","39.8050","0","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"C2","1.0µF","TopLayer","CAPC1005X04L","74.5750","40.5750","90","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"C17","4.7µF","TopLayer","CAPC1608X06L","67.8750","40.7550","90","Capacitor, X7S, ±10%, 10V"
"C1","0.7pF","TopLayer","CAPC0603X03L_C","77.6000","36.0000","270","Capacitor, Ceramic, NP0, ±0.1pF, 25V"
"C20","4.7µF","TopLayer","CAPC1608X06L","67.7000","36.6000","180","Capacitor, X7S, ±10%, 10V"
"C10","100nF","TopLayer","CAPC0603X03L_C","69.2738","29.8250","270","Capacitor, X7S, 16V"
"C11","100nF","TopLayer","CAPC0603X03L_C","72.3516","29.8250","270","Capacitor, X7S, 16V"
"C15","100nF","TopLayer","CAPC0603X03L_C","78.1500","39.1750","0","Capacitor, X7S, 16V"
"C14","100nF","TopLayer","CAPC0603X03L_C","77.9500","37.3500","270","Capacitor, X7S, 16V"
"P3","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","61.3000","51.9000","180","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P2","Pin List 1x2","TopLayer","LIST_1x2-NC","61.3250","65.3300","90","Pin List 1x2, 2.54mm (100mil)"
"U2","BMI270","TopLayer","BMI270","62.8750","57.9125","0","6-axis, smart, low-power, inertial measurement unit"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","83.8000","57.1000","270","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"R2","1k","TopLayer","RESC1005X04L","63.3750","65.3000","90","Resistor, ±1%, 0.063W"
"P1","Pin List 1x6","TopLayer","LIST_1x6","72.6500","53.8000","180","Pin List 1x6, 2.54mm (100mil)"
"LD1","L0805G","TopLayer","LED_0805_G","63.4250","68.5750","90","LED, SMD, 0805, GREEN"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","85.1000","66.2000","90","Coaxial Connector with Switch"
"C23","1.2pF","TopLayer","CAPC1005X04L","87.1250","67.0250","90","Capacitor, NP0, ±0.1pF"
"C22","1.0µF","TopLayer","CAPC1005X04L","63.3000","56.0000","180","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"R1","2R2","TopLayer","RESC0603X03L_C","67.7000","69.7250","0","Resistor, ±1%, 0.05W"
"X1","32MHz","TopLayer","BT-XTAL_2016","80.4250","69.0544","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"L1","2.2nH","TopLayer","INDC0603X03L_C","78.4249","66.1999","180","Inductor, 600mA, ±0.1nH, 120mOhm"
"C21","N.C.","TopLayer","CAPC0603X03L_C_NC","79.2750","66.7000","270","Not mounted"
"U1","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","73.3000","65.2000","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C12","100nF","TopLayer","CAPC0603X03L_C","75.3500","60.3250","270","Capacitor, X7S, 16V"
"C13","100nF","TopLayer","CAPC0603X03L_C","78.1000","65.0750","0","Capacitor, X7S, 16V"
"C9","100nF","TopLayer","CAPC0603X03L_C","67.2250","61.7250","180","Capacitor, X7S, 16V"
"C18","4.7µF","TopLayer","CAPC1608X06L","69.0000","71.2550","90","Capacitor, X7R, ±10%, 6.3V"
"L2","10µH","TopLayer","INDC1608X06L","76.2750","71.2750","180","Inductor, 80mA, ±10%"
"L4","10µH","TopLayer","INDC1608X06L","66.1250","65.2750","270","Inductor, 80mA, ±10%"
"C16","1.0µF","TopLayer","CAPC1005X04L","70.4500","71.0250","270","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"C5","1.0µF","TopLayer","CAPC1005X04L","73.0500","71.1550","0","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"L3","10µH","TopLayer","INDC1608X06L","72.1500","72.1750","180","Inductor, 80mA, ±10%"
"C19","2.2µF","TopLayer","CAPC1608X06L","67.3000","64.8750","90","Capacitor, X7R, ±10%"
"C3","1.0µF","TopLayer","CAPC1005X04L","76.8250","70.2500","0","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"C6","100nF","TopLayer","CAPC0603X03L_C","75.3190","69.5000","0","Capacitor, X7S, 16V"
"C4","2.2nF","TopLayer","CAPC0603X03L_C","78.5000","67.8500","90","Capacitor, X7R, ±10%, 10V"
"C8","100nF","TopLayer","CAPC0603X03L_C","68.6000","68.3000","90","Capacitor, X7S, 16V"
"C7","1.0µF","TopLayer","CAPC1005X04L","72.5000","70.3050","0","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"C2","1.0µF","TopLayer","CAPC1005X04L","74.5750","71.0750","90","Capacitor, Ceramic, 1.0µF 10V X7S 0402,±10%"
"C17","4.7µF","TopLayer","CAPC1608X06L","67.8750","71.2550","90","Capacitor, X7S, ±10%, 10V"
"C1","0.7pF","TopLayer","CAPC0603X03L_C","77.6000","66.5000","270","Capacitor, Ceramic, NP0, ±0.1pF, 25V"
"C20","4.7µF","TopLayer","CAPC1608X06L","67.7000","67.1000","180","Capacitor, X7S, ±10%, 10V"
"C10","100nF","TopLayer","CAPC0603X03L_C","69.2738","60.3250","270","Capacitor, X7S, 16V"
"C11","100nF","TopLayer","CAPC0603X03L_C","72.3516","60.3250","270","Capacitor, X7S, 16V"
"C15","100nF","TopLayer","CAPC0603X03L_C","78.1500","69.6750","0","Capacitor, X7S, 16V"
"C14","100nF","TopLayer","CAPC0603X03L_C","77.9500","67.8500","270","Capacitor, X7S, 16V"
